Fuel_Type,Date_MST,Measure_Names,Measure_Values
Coal,2019-12-28,Maximum Capacity,5183.0
Coal,2019-12-29,Maximum Capacity,5183.0
Coal,2019-12-30,Maximum Capacity,5183.0
Coal,2019-12-31,Maximum Capacity,5183.0
Coal,2020-01-01,Maximum Capacity,5034.0
Coal,2020-02-01,Maximum Capacity,5034.0
Coal,2020-03-01,Maximum Capacity,5034.0
Coal,2020-04-01,Maximum Capacity,5034.0
Coal,2020-05-01,Maximum Capacity,5034.0
Coal,2020-06-01,Maximum Capacity,5034.0
Coal,2020-07-01,Maximum Capacity,5034.0
Coal,2020-08-01,Maximum Capacity,5034.0
Coal,2020-09-01,Maximum Capacity,5034.0
Coal,2020-10-01,Maximum Capacity,5034.0
Coal,2020-11-01,Maximum Capacity,5034.0
Coal,2020-12-01,Maximum Capacity,5034.0
Coal,2020-01-13,Maximum Capacity,5034.0
Coal,2020-01-14,Maximum Capacity,5034.0
Coal,2020-01-15,Maximum Capacity,5034.0
Coal,2020-01-16,Maximum Capacity,5034.0
Coal,2020-01-17,Maximum Capacity,5034.0
Coal,2020-01-18,Maximum Capacity,5034.0
Coal,2020-01-19,Maximum Capacity,5034.0
Coal,2020-01-20,Maximum Capacity,5034.0
Coal,2020-01-21,Maximum Capacity,5034.0
Coal,2020-01-22,Maximum Capacity,5034.0
Coal,2020-01-23,Maximum Capacity,5034.0
Coal,2020-01-24,Maximum Capacity,5034.0
Coal,2020-01-25,Maximum Capacity,5034.0
Coal,2020-01-26,Maximum Capacity,5034.0
Coal,2020-01-27,Maximum Capacity,5034.0
Coal,2020-01-28,Maximum Capacity,5034.0
Coal,2020-01-29,Maximum Capacity,5034.0
Coal,2020-01-30,Maximum Capacity,5034.0
Coal,2020-01-31,Maximum Capacity,5034.0
Coal,2020-01-02,Maximum Capacity,5034.0
Coal,2020-02-02,Maximum Capacity,5034.0
Coal,2020-03-02,Maximum Capacity,5034.0
Coal,2020-04-02,Maximum Capacity,5034.0
Coal,2020-05-02,Maximum Capacity,5034.0
Coal,2020-06-02,Maximum Capacity,5034.0
Coal,2020-07-02,Maximum Capacity,5034.0
Coal,2020-08-02,Maximum Capacity,5034.0
Coal,2020-09-02,Maximum Capacity,5034.0
Coal,2020-10-02,Maximum Capacity,5034.0
Coal,2020-11-02,Maximum Capacity,5034.0
Coal,2020-12-02,Maximum Capacity,5034.0
Coal,2020-02-13,Maximum Capacity,5034.0
Coal,2020-02-14,Maximum Capacity,5034.0
Coal,2020-02-15,Maximum Capacity,5034.0
Coal,2020-02-16,Maximum Capacity,5034.0
Coal,2020-02-17,Maximum Capacity,5034.0
Coal,2020-02-18,Maximum Capacity,5034.0
Coal,2020-02-19,Maximum Capacity,5034.0
Coal,2020-02-20,Maximum Capacity,5034.0
Coal,2020-02-21,Maximum Capacity,5034.0
Coal,2020-02-22,Maximum Capacity,5034.0
Coal,2020-02-23,Maximum Capacity,5034.0
Coal,2020-02-24,Maximum Capacity,5034.0
Coal,2020-02-25,Maximum Capacity,5034.0
Coal,2020-02-26,Maximum Capacity,5034.0
Coal,2020-02-27,Maximum Capacity,5034.0
Coal,2020-02-28,Maximum Capacity,5034.0
Coal,2020-02-29,Maximum Capacity,5034.0
Coal,2020-01-03,Maximum Capacity,5034.0
Coal,2020-02-03,Maximum Capacity,5034.0
Coal,2020-03-03,Maximum Capacity,5034.0
Coal,2020-04-03,Maximum Capacity,5034.0
Coal,2020-05-03,Maximum Capacity,5034.0
Coal,2020-06-03,Maximum Capacity,5034.0
Coal,2020-07-03,Maximum Capacity,5034.0
Coal,2020-08-03,Maximum Capacity,5034.0
Coal,2020-09-03,Maximum Capacity,5034.0
Coal,2020-10-03,Maximum Capacity,5034.0
Coal,2020-11-03,Maximum Capacity,5034.0
Coal,2020-12-03,Maximum Capacity,5034.0
Coal,2020-03-13,Maximum Capacity,5034.0
Coal,2020-03-14,Maximum Capacity,5034.0
Coal,2020-03-15,Maximum Capacity,5034.0
Coal,2020-03-16,Maximum Capacity,5034.0
Coal,2020-03-17,Maximum Capacity,5034.0
Coal,2020-03-18,Maximum Capacity,5034.0
Coal,2020-03-19,Maximum Capacity,5034.0
Coal,2020-03-20,Maximum Capacity,5034.0
Coal,2020-03-21,Maximum Capacity,5034.0
Coal,2020-03-22,Maximum Capacity,5034.0
Coal,2020-03-23,Maximum Capacity,5034.0
Coal,2020-03-24,Maximum Capacity,5034.0
Coal,2020-03-25,Maximum Capacity,5034.0
Coal,2020-03-26,Maximum Capacity,5034.0
Coal,2020-03-27,Maximum Capacity,5034.0
Coal,2020-03-28,Maximum Capacity,5034.0
Coal,2020-03-29,Maximum Capacity,5034.0
Coal,2020-03-30,Maximum Capacity,5034.0
Coal,2020-03-31,Maximum Capacity,5034.0
Coal,2020-01-04,Maximum Capacity,5034.0
Coal,2020-02-04,Maximum Capacity,5034.0
Coal,2020-03-04,Maximum Capacity,5034.0
Coal,2020-04-04,Maximum Capacity,5034.0
Coal,2020-05-04,Maximum Capacity,5034.0
Coal,2020-06-04,Maximum Capacity,5034.0
Coal,2020-07-04,Maximum Capacity,5017.75
Coal,2020-08-04,Maximum Capacity,4644.0
Coal,2020-09-04,Maximum Capacity,4644.0
Coal,2020-10-04,Maximum Capacity,4644.0
Coal,2020-11-04,Maximum Capacity,4644.0
Coal,2020-12-04,Maximum Capacity,4644.0
Coal,2020-04-13,Maximum Capacity,4644.0
Coal,2020-04-14,Maximum Capacity,4644.0
Coal,2020-04-15,Maximum Capacity,4644.0
Coal,2020-04-16,Maximum Capacity,4644.0
Coal,2020-04-17,Maximum Capacity,4644.0
Coal,2020-04-18,Maximum Capacity,4644.0
Coal,2020-04-19,Maximum Capacity,4644.0
Coal,2020-04-20,Maximum Capacity,4644.0
Coal,2020-04-21,Maximum Capacity,4644.0
Coal,2020-04-22,Maximum Capacity,4645.708333
Coal,2020-04-23,Maximum Capacity,4685.0
Coal,2020-04-24,Maximum Capacity,4685.0
Coal,2020-04-25,Maximum Capacity,4685.0
Coal,2020-04-26,Maximum Capacity,4685.0
Coal,2020-04-27,Maximum Capacity,4685.0
Coal,2020-04-28,Maximum Capacity,4685.0
Coal,2020-04-29,Maximum Capacity,4685.0
Coal,2020-04-30,Maximum Capacity,4685.0
Coal,2020-01-05,Maximum Capacity,4684.25
Coal,2020-02-05,Maximum Capacity,4667.0
Coal,2020-03-05,Maximum Capacity,4667.0
Coal,2020-04-05,Maximum Capacity,4667.0
Coal,2020-05-05,Maximum Capacity,4667.0
Coal,2020-06-05,Maximum Capacity,4667.0
Coal,2020-07-05,Maximum Capacity,4667.0
Coal,2020-08-05,Maximum Capacity,4660.041667
Coal,2020-09-05,Maximum Capacity,4500.0
Coal,2020-10-05,Maximum Capacity,4500.0
Coal,2020-11-05,Maximum Capacity,4500.0
Coal,2020-12-05,Maximum Capacity,4500.0
Coal,2020-05-13,Maximum Capacity,4500.0
Coal,2020-05-14,Maximum Capacity,4500.0
Coal,2020-05-15,Maximum Capacity,4500.0
Coal,2020-05-16,Maximum Capacity,4500.0
Coal,2020-05-17,Maximum Capacity,4500.0
Coal,2020-05-18,Maximum Capacity,4500.0
Coal,2020-05-19,Maximum Capacity,4500.0
Coal,2020-05-20,Maximum Capacity,4500.0
Coal,2020-05-21,Maximum Capacity,4500.0
Coal,2020-05-22,Maximum Capacity,4500.0
Coal,2020-05-23,Maximum Capacity,4500.0
Coal,2020-05-24,Maximum Capacity,4500.0
Coal,2020-05-25,Maximum Capacity,4500.0
Coal,2020-05-26,Maximum Capacity,4500.0
Coal,2020-05-27,Maximum Capacity,4500.0
Coal,2020-05-28,Maximum Capacity,4500.0
Coal,2020-05-29,Maximum Capacity,4500.0
Coal,2020-05-30,Maximum Capacity,4500.0
Coal,2020-05-31,Maximum Capacity,4500.0
Coal,2020-01-06,Maximum Capacity,4500.0
Coal,2020-02-06,Maximum Capacity,4500.0
Coal,2020-03-06,Maximum Capacity,4500.0
Coal,2020-04-06,Maximum Capacity,4500.0
Coal,2020-05-06,Maximum Capacity,4500.0
Coal,2020-06-06,Maximum Capacity,4500.0
Coal,2020-07-06,Maximum Capacity,4500.0
Coal,2020-08-06,Maximum Capacity,4500.0
Coal,2020-09-06,Maximum Capacity,4500.0
Coal,2020-10-06,Maximum Capacity,4500.0
Coal,2020-11-06,Maximum Capacity,4500.0
Coal,2020-12-06,Maximum Capacity,4500.0
Coal,2020-06-13,Maximum Capacity,4500.0
Coal,2020-06-14,Maximum Capacity,4500.0
Coal,2020-06-15,Maximum Capacity,4500.0
Coal,2020-06-16,Maximum Capacity,4500.0
Coal,2020-06-17,Maximum Capacity,4500.0
Coal,2020-06-18,Maximum Capacity,4500.0
Coal,2020-06-19,Maximum Capacity,4500.0
Coal,2020-06-20,Maximum Capacity,4500.0
Coal,2020-06-21,Maximum Capacity,4500.0
Coal,2020-06-22,Maximum Capacity,4500.0
Coal,2020-06-23,Maximum Capacity,4500.0
Coal,2020-06-24,Maximum Capacity,4500.0
Coal,2020-06-25,Maximum Capacity,4500.0
Coal,2020-06-26,Maximum Capacity,4500.0
Coal,2020-06-27,Maximum Capacity,4500.0
Coal,2020-06-28,Maximum Capacity,4500.0
Coal,2020-06-29,Maximum Capacity,4500.0
Coal,2020-06-30,Maximum Capacity,4500.0
Coal,2020-01-07,Maximum Capacity,4500.0
Coal,2020-02-07,Maximum Capacity,4500.0
